日期,主口径_电费收入(元),主口径_电费成本(元),主口径_净收益(元),主口径_放电电量(kWh),主口径_充电电量(kWh),主口径_单位收益(元/kWh),物理模型_电费收入(元),物理模型_电费成本(元),物理模型_净收益(元),物理模型_放电电量(kWh),物理模型_充电电量(kWh),物理模型_单位收益(元/kWh),样本模型_电费收入(元),样本模型_电费成本(元),样本模型_净收益(元),样本模型_放电电量(kWh),样本模型_充电电量(kWh),样本模型_单位收益(元/kWh)
2025-04-21,12687.488484,4310.0739032848505,8377.414580715149,12219.600000000002,14374.57945332461,0.6855719156695103,8736.19907795045,4106.8410435447895,4629.358034405661,8414.026021584,13696.775091864958,0.5501953550571681,12687.488484,4310.0739032848505,8377.414580715149,12219.600000000002,14374.57945332461,0.6855719156695103
2025-04-22,12100.958462999997,4110.823457446558,7990.135005553439,11654.7,13710.056888495723,0.68557191566951,8332.33325098932,3916.985851435518,4415.3473995538025,8025.053935787999,13063.586751052288,0.5501953550571681,12100.958462999997,4110.823457446558,7990.135005553439,11654.7,13710.056888495723,0.68557191566951
2025-04-23,12409.122935,4215.510184875847,8193.612750124154,11951.5,14059.198855642499,0.6855719156695104,8544.525457471995,4016.736286942744,4527.789170529251,8229.42093006,13396.265631479268,0.550195355057168,12409.122935,4215.510184875847,8193.612750124154,11951.5,14059.198855642499,0.6855719156695104
2025-04-24,13675.213760999999,4645.614616908446,9029.599144091553,13170.899999999998,15493.645333872886,0.6855719156695104,9416.315135992796,4426.560010182336,4989.75512581046,9069.060798035998,14763.07367323351,0.5501953550571681,13675.213760999999,4645.614616908446,9029.599144091553,13170.899999999998,15493.645333872886,0.6855719156695104
2025-04-25,14368.583822999997,4881.159753624346,9487.424069375651,13838.699999999999,16279.21475995313,0.6855719156695103,9893.747600578814,4650.998490073593,5242.749110505221,9528.886535147998,15511.601154194213,0.5501953550571681,14368.583822999997,4881.159753624346,9487.424069375651,13838.699999999999,16279.21475995313,0.6855719156695103
2025-04-26,14014.630761999999,4760.918158676083,9253.712603323915,13497.8,15878.195566555773,0.6855719156695103,9650.026835114044,4536.426645516945,5113.6001895970985,9294.153690312,15129.491213703792,0.550195355057168,14014.630761999999,4760.918158676083,9253.712603323915,13497.8,15878.195566555773,0.6855719156695103
2025-04-27,12527.591824,4255.7553182979555,8271.836505702044,12065.599999999999,14193.420885465435,0.6855719156695104,8626.099348171703,4055.083742102361,4571.0156060693425,8307.986543424,13524.158691643413,0.5501953550571681,12527.591824,4255.7553182979555,8271.836505702044,12065.599999999999,14193.420885465435,0.6855719156695104
2025-04-28,10063.002851,3418.508401522673,6644.494449477326,9691.9,11401.10859632695,0.6855719156695103,6929.062149627481,3257.3155185056585,3671.7466311218222,6673.532586875999,10863.512268228584,0.5501953550571681,10063.002851,3418.508401522673,6644.494449477326,9691.9,11401.10859632695,0.6855719156695103
2025-04-29,12249.226274999999,4161.191599888951,8088.034675111048,11797.5,13878.040287783322,0.6855719156695104,8434.425727693251,3964.9789855003155,4469.446742192936,8123.3814519,13223.649231257721,0.5501953550571683,12249.226274999999,4161.191599888951,8088.034675111048,11797.5,13878.040287783322,0.6855719156695104
2025-04-30,17231.46084,5853.709327548807,11377.751512451192,16596.0,19522.776572668114,0.6855719156695103,11865.033216935553,5577.689446354163,6287.34377058139,11427.47519184,18602.219338160896,0.5501953550571682,17231.46084,5853.709327548807,11377.751512451192,16596.0,19522.776572668114,0.6855719156695103
2025-05-01,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144
2025-05-02,17400.906000000003,6053.03687635575,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160903,0.543785003119914,17400.906000000003,6053.03687635575,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144
2025-05-03,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144
2025-05-04,17144.931325690803,5963.994148177875,11180.937177512928,16351.865832800002,19235.588286334056,0.6837713378913143,11805.451758865514,5682.774008243983,6122.677750621531,11259.372206834065,18328.572837426167,0.5437850031199136,17144.931325690803,5963.994148177875,11180.937177512928,16351.865832800002,19235.588286334056,0.6837713378913143
2025-05-05,16446.141875674803,5720.914948177875,10725.226927496928,15685.3999768,18451.58828633406,0.6837713378913144,11324.287676895321,5451.1567186584825,5873.1309582368385,10800.465118641221,17581.54077941778,0.543785003119914,16446.141875674803,5720.914948177875,10725.226927496928,15685.3999768,18451.58828633406,0.6837713378913144
2025-05-06,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-07,17400.906,6053.036876355747,11347.869123644252,16596.0,19522.77657266811,0.6837713378913143,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906,6053.036876355747,11347.869123644252,16596.0,19522.77657266811,0.6837713378913143
2025-05-08,16685.726829966003,5804.256388177874,10881.47044178813,15913.902556000001,18720.388286334055,0.6837713378913145,11489.2582192851,5530.568360802083,5958.689858483018,10957.80469173591,17837.666056449227,0.5437850031199138,16685.726829966003,5804.256388177874,10881.47044178813,15913.902556000001,18720.388286334055,0.6837713378913145
2025-05-09,14124.538711827001,4913.327713177875,9211.210998649127,13471.186182000001,15846.888286334059,0.6837713378913143,9725.705936706841,4681.649634240943,5044.056302465899,9275.828265814824,15099.660165266709,0.5437850031199138,14124.538711827001,4913.327713177875,9211.210998649127,13471.186182000001,15846.888286334059,0.6837713378913143
2025-05-10,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-11,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.2193381609,0.543785003119914,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-12,16550.3363740254,5757.159793177874,10793.176580847525,15784.774796400001,18568.488286334057,0.6837713378913142,11396.032678403375,5485.692510944891,5910.340167458484,10868.891443398546,17692.928595210098,0.5437850031199138,16550.3363740254,5757.159793177874,10793.176580847525,15784.774796400001,18568.488286334057,0.6837713378913142
2025-05-13,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.2193381609,0.5437850031199138,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-14,16099.242827274,5600.2434881778745,10498.999339096124,15354.547284,18062.388286334055,0.6837713378913142,11085.424079060116,5336.175278471395,5749.248800588721,10572.650528431202,17210.69272204933,0.5437850031199138,16099.242827274,5600.2434881778745,10498.999339096124,15354.547284,18062.388286334055,0.6837713378913142
2025-05-15,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.2193381609,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144
2025-05-16,14448.3527516112,5025.968878177875,9422.383873433326,13780.021699200002,16210.188286334058,0.6837713378913142,9948.67393540553,4788.979431825653,5159.694503579877,9488.482532575614,15445.829485004522,0.5437850031199137,14448.3527516112,5025.968878177875,9422.383873433326,13780.021699200002,16210.188286334058,0.6837713378913142
2025-05-17,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144
2025-05-18,17400.906000000003,6053.03687635575,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.219338160903,0.5437850031199138,17400.906000000003,6053.03687635575,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144
2025-05-19,13312.1959761834,4630.748143177874,8681.447833005526,12696.419624400001,14935.488286334057,0.6837713378913143,9166.35269141649,4412.394535097799,4753.958156318691,8742.348775790644,14231.23539783196,0.543785003119914,13312.1959761834,4630.748143177874,8681.447833005526,12696.419624400001,14935.488286334057,0.6837713378913143
2025-05-20,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.2193381609,0.5437850031199138,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144
2025-05-21,15585.7573653426,5421.623683177875,10164.133682164726,14864.8138916,17486.288286334056,0.6837713378913142,10731.854400969518,5165.977930856337,5565.876470113181,10235.435766303784,16661.757557994955,0.5437850031199138,15585.7573653426,5421.623683177875,10164.133682164726,14864.8138916,17486.288286334056,0.6837713378913142
2025-05-22,17400.906000000003,6053.03687635575,11347.869123644254,16596.000000000004,19522.776572668117,0.6837713378913143,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.219338160903,0.5437850031199138,17400.906000000003,6053.03687635575,11347.869123644254,16596.000000000004,19522.776572668117,0.6837713378913143
2025-05-23,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144
2025-05-24,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.2193381609,0.5437850031199138,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-25,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-26,15770.4374342754,5485.8660431778735,10284.571391097526,15040.951296399999,17693.488286334054,0.6837713378913144,10859.019194061639,5227.19107167536,5631.828122386279,10356.718353897606,16859.187459040026,0.5437850031199138,15770.4374342754,5485.8660431778735,10284.571391097526,15040.951296399999,17693.488286334054,0.6837713378913144
2025-05-27,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.219338160896,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.77657266811,0.6837713378913144
2025-05-28,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.2193381609,0.543785003119914,17400.906000000003,6053.036876355748,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-29,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144,11981.70773864424,5767.618105796787,6214.089632847453,11427.47519184,18602.2193381609,0.5437850031199138,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668114,0.6837713378913144
2025-05-30,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144,11981.70773864424,5767.618105796786,6214.089632847454,11427.47519184,18602.2193381609,0.543785003119914,17400.906000000003,6053.036876355749,11347.869123644254,16596.0,19522.776572668117,0.6837713378913144
2025-05-31,14526.966564738002,5053.315288177874,9473.65127656013,13854.999108,16298.388286334055,0.6837713378913145,10002.804894627177,4815.03637690402,5187.768517723158,9540.109579997308,15529.870591530464,0.5437850031199141,14526.966564738002,5053.315288177874,9473.65127656013,13854.999108,16298.388286334055,0.6837713378913145
2025-06-01,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160896,0.5418386670762815,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959
2025-06-02,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.2193381609,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668114,0.6832246394473959
2025-06-03,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959,12017.132911738947,5825.284985745085,6191.847925993862,11427.475191840002,18602.219338160896,0.5418386670762816,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959
2025-06-04,13826.9626,4843.583428225916,8983.379171774086,13148.5,15467.294996729732,0.683224639447396,9520.804536635304,4615.194000666983,4905.610535968321,9053.636873939999,14737.965833201286,0.5418386670762815,13826.9626,4843.583428225916,8983.379171774086,13148.5,15467.294996729732,0.683224639447396
2025-06-05,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959,12017.132911738945,5825.284985745085,6191.84792599386,11427.47519184,18602.219338160896,0.5418386670762816,17452.353600000002,6113.557483731019,11338.796116268983,16596.0,19522.77657266811,0.6832246394473959
2025-06-06,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668117,0.6832246394473959,12017.132911738945,5825.284985745086,6191.8479259938595,11427.47519184,18602.219338160896,0.5418386670762815,17452.353600000002,6113.55748373102,11338.796116268983,16596.0,19522.776572668117,0.6832246394473959
