日期,等效次数,profit,是否有效,点位数量
2025-07-24,1.898602072788624,"{'main': {'revenue': 14046.65639, 'cost': 5821.212797794099, 'profit': 8225.443592205902, 'discharge_energy_kwh': 15754.6, 'charge_energy_kwh': 18532.992033728427, 'profit_per_kwh': 0.5220979010705382}, 'physics': {'revenue': 9672.078659015775, 'cost': 5546.725225052135, 'profit': 4125.35343396364, 'discharge_energy_kwh': 10848.114042984002, 'charge_energy_kwh': 17659.106096950447, 'profit_per_kwh': 0.3802830074995114}, 'sample': {'revenue': 14046.65639, 'cost': 5821.212797794099, 'profit': 8225.443592205902, 'discharge_energy_kwh': 15754.6, 'charge_energy_kwh': 18532.992033728427, 'profit_per_kwh': 0.5220979010705382}}",True,96
2025-07-25,1.7588982000000002,"{'main': {'revenue': 12375.857923563779, 'cost': 5392.873450737527, 'profit': 6982.984472826252, 'discharge_energy_kwh': 14595.337263599999, 'charge_energy_kwh': 17169.288286334056, 'profit_per_kwh': 0.47843940477082686}, 'physics': {'revenue': 8521.62023374678, 'cost': 5138.583357759228, 'profit': 3383.036875987552, 'discharge_energy_kwh': 10049.882772736015, 'charge_energy_kwh': 16359.705054948196, 'profit_per_kwh': 0.3366245111998}, 'sample': {'revenue': 12375.857923563779, 'cost': 5392.873450737527, 'profit': 6982.984472826252, 'discharge_energy_kwh': 14595.337263599999, 'charge_energy_kwh': 17169.288286334056, 'profit_per_kwh': 0.47843940477082686}}",True,96
2025-07-26,2.0,"{'main': {'revenue': 14593.692599999998, 'cost': 6132.104121475053, 'profit': 8461.588478524945, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274853}, 'physics': {'revenue': 10048.750309944502, 'cost': 5842.957094116337, 'profit': 4205.793215828165, 'discharge_energy_kwh': 11427.475191839998, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3680422092564585}, 'sample': {'revenue': 14593.692599999998, 'cost': 6132.104121475053, 'profit': 8461.588478524945, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274853}}",True,96
2025-07-27,1.9577531111111113,"{'main': {'revenue': 14205.074119551802, 'cost': 6002.572960737527, 'profit': 8202.501158814275, 'discharge_energy_kwh': 16245.435316000001, 'charge_energy_kwh': 19110.388286334055, 'profit_per_kwh': 0.5049111334514808}, 'physics': {'revenue': 9781.160044554508, 'cost': 5719.533714547499, 'profit': 4061.6263300070095, 'discharge_energy_kwh': 11186.0875544849, 'charge_energy_kwh': 18209.276391427884, 'profit_per_kwh': 0.3630962398804539}, 'sample': {'revenue': 14205.074119551802, 'cost': 6002.572960737527, 'profit': 8202.501158814275, 'discharge_energy_kwh': 16245.435316000001, 'charge_energy_kwh': 19110.388286334055, 'profit_per_kwh': 0.5049111334514808}}",True,96
2025-07-28,2.0,"{'main': {'revenue': 14593.692599999998, 'cost': 6132.104121475054, 'profit': 8461.588478524944, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274852}, 'physics': {'revenue': 10048.750309944502, 'cost': 5842.9570941163365, 'profit': 4205.793215828166, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.36804220925645853}, 'sample': {'revenue': 14593.692599999998, 'cost': 6132.104121475054, 'profit': 8461.588478524944, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274852}}",True,96
2025-07-29,1.9027506888888888,"{'main': {'revenue': 13699.12070364022, 'cost': 5833.932670737527, 'profit': 7865.188032902693, 'discharge_energy_kwh': 15789.025216399998, 'charge_energy_kwh': 18573.488286334054, 'profit_per_kwh': 0.498142724145703}, 'physics': {'revenue': 9432.776692628966, 'cost': 5558.84531798904, 'profit': 3873.9313746399257, 'discharge_energy_kwh': 10871.818146767122, 'charge_energy_kwh': 17697.692830273925, 'profit_per_kwh': 0.35632783057467626}, 'sample': {'revenue': 13699.12070364022, 'cost': 5833.932670737527, 'profit': 7865.188032902693, 'discharge_energy_kwh': 15789.025216399998, 'charge_energy_kwh': 18573.488286334054, 'profit_per_kwh': 0.498142724145703}}",True,96
2025-07-30,2.0,"{'main': {'revenue': 14593.692599999998, 'cost': 6132.104121475054, 'profit': 8461.588478524944, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274852}, 'physics': {'revenue': 10048.750309944502, 'cost': 5842.957094116337, 'profit': 4205.793215828165, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3680422092564584}, 'sample': {'revenue': 14593.692599999998, 'cost': 6132.104121475054, 'profit': 8461.588478524944, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5098571028274852}}",True,96
2025-07-31,1.9429806222222221,"{'main': {'revenue': 14069.18571840736, 'cost': 5957.279740737526, 'profit': 8111.905977669834, 'discharge_energy_kwh': 16122.853203199998, 'charge_energy_kwh': 18966.18828633405, 'profit_per_kwh': 0.5031309207764675}, 'physics': {'revenue': 9687.591634519746, 'cost': 5676.376205171954, 'profit': 4011.2154293477915, 'discharge_energy_kwh': 11101.681429335145, 'charge_energy_kwh': 18071.875852187055, 'profit_per_kwh': 0.36131602720544054}, 'sample': {'revenue': 14069.18571840736, 'cost': 5957.279740737526, 'profit': 8111.905977669834, 'discharge_energy_kwh': 16122.853203199998, 'charge_energy_kwh': 18966.18828633405, 'profit_per_kwh': 0.5031309207764675}}",True,96
2025-08-01,2.0,"{'main': {'revenue': 14243.985126000001, 'cost': 5247.722342733188, 'profit': 8996.262783266813, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5420741614405166}, 'physics': {'revenue': 9807.952919998974, 'cost': 5000.276558097648, 'profit': 4807.676361901325, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.4207120366653113}, 'sample': {'revenue': 14243.985126000001, 'cost': 5247.722342733188, 'profit': 8996.262783266813, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.5420741614405166}}",True,96
2025-08-02,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.475191839998, 'charge_energy_kwh': 18602.2193381609, 'profit_per_kwh': 0.3576388295069598}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}}",True,96
2025-08-03,1.9575680886960711,"{'main': {'revenue': 13017.130072, 'cost': 5136.386898235938, 'profit': 7880.743173764062, 'discharge_energy_kwh': 16243.900000000001, 'charge_energy_kwh': 19108.582210699176, 'profit_per_kwh': 0.4851509288880171}, 'physics': {'revenue': 8963.1797401021, 'cost': 4894.190912393491, 'profit': 4068.9888277086084, 'discharge_energy_kwh': 11185.030384956, 'charge_energy_kwh': 18207.555477654358, 'profit_per_kwh': 0.36378880411281195}, 'sample': {'revenue': 13017.130072, 'cost': 5136.386898235938, 'profit': 7880.743173764062, 'discharge_energy_kwh': 16243.900000000001, 'charge_energy_kwh': 19108.582210699176, 'profit_per_kwh': 0.4851509288880171}}",True,96
2025-08-04,2.0,"{'main': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.479000954282165}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.35763882950695974}, 'sample': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.479000954282165}}",True,96
2025-08-05,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.35763882950695974}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}}",True,96
2025-08-06,2.0,"{'main': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.479000954282165}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.2193381609, 'profit_per_kwh': 0.35763882950695974}, 'sample': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.479000954282165}}",True,96
2025-08-07,2.0,"{'main': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.479000954282165}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.475191839998, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3576388295069598}, 'sample': {'revenue': 13197.222179999999, 'cost': 5247.722342733188, 'profit': 7949.499837266811, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.479000954282165}}",True,96
2025-08-08,1.8040762,"{'main': {'revenue': 11443.124012198869, 'cost': 4733.645491366594, 'profit': 6709.478520832275, 'discharge_energy_kwh': 14970.2243076, 'charge_energy_kwh': 17610.288286334056, 'profit_per_kwh': 0.44818824240502825}, 'physics': {'revenue': 7879.36947255671, 'cost': 4510.439965940943, 'profit': 3368.9295066157674, 'discharge_energy_kwh': 10308.018009844489, 'charge_energy_kwh': 16779.910587577913, 'profit_per_kwh': 0.32682611762982283}, 'sample': {'revenue': 11443.124012198869, 'cost': 4733.645491366594, 'profit': 6709.478520832275, 'discharge_energy_kwh': 14970.2243076, 'charge_energy_kwh': 17610.288286334056, 'profit_per_kwh': 0.44818824240502825}}",True,96
2025-08-09,1.9058342666666668,"{'main': {'revenue': 12354.160028747063, 'cost': 5000.644531366594, 'profit': 7353.515497380469, 'discharge_energy_kwh': 15814.612744799999, 'charge_energy_kwh': 18603.588286334056, 'profit_per_kwh': 0.4649823309646566}, 'physics': {'revenue': 8506.67975684071, 'cost': 4764.849203616279, 'profit': 3741.8305532244303, 'discharge_energy_kwh': 10889.436901045956, 'charge_energy_kwh': 17726.37352535818, 'profit_per_kwh': 0.3436202061894512}, 'sample': {'revenue': 12354.160028747063, 'cost': 5000.644531366594, 'profit': 7353.515497380469, 'discharge_energy_kwh': 15814.612744799999, 'charge_energy_kwh': 18603.588286334056, 'profit_per_kwh': 0.4649823309646566}}",True,96
2025-08-10,1.9029658222222223,"{'main': {'revenue': 12328.478957103704, 'cost': 4993.118131366595, 'profit': 7335.360825737109, 'discharge_energy_kwh': 15790.810392799998, 'charge_energy_kwh': 18575.58828633406, 'profit_per_kwh': 0.4645335257196015}, 'physics': {'revenue': 8488.99659167414, 'cost': 4757.677695859398, 'profit': 3731.318895814742, 'discharge_energy_kwh': 10873.047362181926, 'charge_energy_kwh': 17699.69380900074, 'profit_per_kwh': 0.34317140094439613}, 'sample': {'revenue': 12328.478957103704, 'cost': 4993.118131366595, 'profit': 7335.360825737109, 'discharge_energy_kwh': 15790.810392799998, 'charge_energy_kwh': 18575.58828633406, 'profit_per_kwh': 0.4645335257196015}}",True,96
2025-08-11,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.35763882950695974}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}}",True,96
2025-08-12,1.8575726888888888,"{'main': {'revenue': 11922.075998347531, 'cost': 4874.012851366594, 'profit': 7048.063146980937, 'discharge_energy_kwh': 15414.138172399998, 'charge_energy_kwh': 18132.488286334054, 'profit_per_kwh': 0.4572466568128308}, 'physics': {'revenue': 8209.160502913202, 'cost': 4644.188585606764, 'profit': 3564.9719173064386, 'discharge_energy_kwh': 10613.682909658648, 'charge_energy_kwh': 17277.487297644213, 'profit_per_kwh': 0.3358845320376255}, 'sample': {'revenue': 11922.075998347531, 'cost': 4874.012851366594, 'profit': 7048.063146980937, 'discharge_energy_kwh': 15414.138172399998, 'charge_energy_kwh': 18132.488286334054, 'profit_per_kwh': 0.4572466568128308}}",True,96
2025-08-13,1.9277061555555557,"{'main': {'revenue': 12549.978200027685, 'cost': 5058.033331366594, 'profit': 7491.94486866109, 'discharge_energy_kwh': 15996.1056788, 'charge_energy_kwh': 18817.08828633406, 'profit_per_kwh': 0.46836055094274187}, 'physics': {'revenue': 8641.51389123579, 'cost': 4819.531950262493, 'profit': 3821.9819409732972, 'discharge_energy_kwh': 11014.407134884186, 'charge_energy_kwh': 17929.80636258368, 'profit_per_kwh': 0.34699842616753646}, 'sample': {'revenue': 12549.978200027685, 'cost': 5058.033331366594, 'profit': 7491.94486866109, 'discharge_energy_kwh': 15996.1056788, 'charge_energy_kwh': 18817.08828633406, 'profit_per_kwh': 0.46836055094274187}}",True,96
2025-08-14,1.962713906965534,"{'main': {'revenue': 13038.970268000001, 'cost': 5149.88881098809, 'profit': 7889.081457011911, 'discharge_energy_kwh': 16286.6, 'charge_energy_kwh': 19158.81254087831, 'profit_per_kwh': 0.48439093837952124}, 'physics': {'revenue': 8978.218201055035, 'cost': 4907.056169626004, 'profit': 4071.1620314290312, 'discharge_energy_kwh': 11214.432240264, 'charge_energy_kwh': 18255.417297715787, 'profit_per_kwh': 0.363028813604316}, 'sample': {'revenue': 13038.970268000001, 'cost': 5149.88881098809, 'profit': 7889.081457011911, 'discharge_energy_kwh': 16286.6, 'charge_energy_kwh': 19158.81254087831, 'profit_per_kwh': 0.48439093837952124}}",True,96
2025-08-15,1.9088461333333333,"{'main': {'revenue': 12381.12515397259, 'cost': 5008.547251366594, 'profit': 7372.577902605997, 'discharge_energy_kwh': 15839.605214399999, 'charge_energy_kwh': 18632.988286334054, 'profit_per_kwh': 0.46545212477287545}, 'physics': {'revenue': 8525.247080265604, 'cost': 4772.379286761003, 'profit': 3752.8677935046017, 'discharge_energy_kwh': 10906.645916853187, 'charge_energy_kwh': 17754.387227533494, 'profit_per_kwh': 0.3440899999976701}, 'sample': {'revenue': 12381.12515397259, 'cost': 5008.547251366594, 'profit': 7372.577902605997, 'discharge_energy_kwh': 15839.605214399999, 'charge_energy_kwh': 18632.988286334054, 'profit_per_kwh': 0.46545212477287545}}",True,96
2025-08-16,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733189, 'profit': 7949.4998372668115, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.47900095428216505}, 'physics': {'revenue': 9087.185409927128, 'cost': 5000.276558097648, 'profit': 4086.9088518294793, 'discharge_energy_kwh': 11427.475191840002, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3576388295069598}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733189, 'profit': 7949.4998372668115, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.47900095428216505}}",True,96
2025-08-17,1.9431240444444446,"{'main': {'revenue': 12688.013960110746, 'cost': 5098.487731366595, 'profit': 7589.526228744151, 'discharge_energy_kwh': 16124.043320800001, 'charge_energy_kwh': 18967.58828633406, 'profit_per_kwh': 0.4706962191644368}, 'physics': {'revenue': 8736.560904006095, 'cost': 4858.078804455725, 'profit': 3878.4820995503705, 'discharge_energy_kwh': 11102.500906278348, 'charge_energy_kwh': 18073.20983800493, 'profit_per_kwh': 0.34933409438923163}, 'sample': {'revenue': 12688.013960110746, 'cost': 5098.487731366595, 'profit': 7589.526228744151, 'discharge_energy_kwh': 16124.043320800001, 'charge_energy_kwh': 18967.58828633406, 'profit_per_kwh': 0.4706962191644368}}",True,96
2025-08-18,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.475191839998, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.3576388295069598}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.776572668114, 'profit_per_kwh': 0.4790009542821651}}",True,96
2025-08-19,1.8559950444444446,"{'main': {'revenue': 11907.951408943683, 'cost': 4869.873331366594, 'profit': 7038.078077577089, 'discharge_energy_kwh': 15401.0468788, 'charge_energy_kwh': 18117.08828633406, 'profit_per_kwh': 0.4569869914015529}, 'physics': {'revenue': 8199.43476207159, 'cost': 4640.24425634048, 'profit': 3559.1905057311105, 'discharge_energy_kwh': 10604.668663283433, 'charge_energy_kwh': 17262.81345364762, 'profit_per_kwh': 0.3356248666263476}, 'sample': {'revenue': 11907.951408943683, 'cost': 4869.873331366594, 'profit': 7038.078077577089, 'discharge_energy_kwh': 15401.0468788, 'charge_energy_kwh': 18117.08828633406, 'profit_per_kwh': 0.4569869914015529}}",True,96
2025-08-20,1.6876235237406603,"{'main': {'revenue': 11871.414872, 'cost': 4428.089835827988, 'profit': 7443.325036172011, 'discharge_energy_kwh': 14003.900000000001, 'charge_energy_kwh': 16473.548496383883, 'profit_per_kwh': 0.531518008281408}, 'physics': {'revenue': 8174.2768704398895, 'cost': 4219.292172327287, 'profit': 3954.984698112603, 'discharge_energy_kwh': 9642.637975356, 'charge_energy_kwh': 15696.771474431873, 'profit_per_kwh': 0.41015588350620286}, 'sample': {'revenue': 11871.414872, 'cost': 4428.089835827988, 'profit': 7443.325036172011, 'discharge_energy_kwh': 14003.900000000001, 'charge_energy_kwh': 16473.548496383883, 'profit_per_kwh': 0.531518008281408}}",True,96
2025-08-21,2.0,"{'main': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.4790009542821651}, 'physics': {'revenue': 9087.185409927126, 'cost': 5000.276558097648, 'profit': 4086.9088518294775, 'discharge_energy_kwh': 11427.47519184, 'charge_energy_kwh': 18602.219338160896, 'profit_per_kwh': 0.35763882950695974}, 'sample': {'revenue': 13197.22218, 'cost': 5247.722342733188, 'profit': 7949.499837266812, 'discharge_energy_kwh': 16596.0, 'charge_energy_kwh': 19522.77657266811, 'profit_per_kwh': 0.4790009542821651}}",True,96
